date,price,price_return,absolute_return,rolling_5d_return,rolling_20d_return,rolling_10d_volatility,rolling_30d_volatility,moving_average_gap_10d,moving_average_gap_30d,volume_change,volume_vs_20d_average,input_market_return,input_peer_msft_return,input_peer_nvda_return,anomaly_score,severity_percentile,model_flag,dominant_features,contribution_absolute_return,contribution_rolling_5d_return,contribution_rolling_20d_return,contribution_rolling_10d_volatility,contribution_rolling_30d_volatility,contribution_moving_average_gap_10d,contribution_moving_average_gap_30d,contribution_volume_change,contribution_volume_vs_20d_average,contribution_input_market_return,contribution_input_peer_msft_return,contribution_input_peer_nvda_return
2020-02-18,77.00770568847656,-0.01831076243101659,0.01831076243101659,-0.007930322847733429,0.003222400499029332,0.016170429979338187,0.016812892319356187,-0.009450431201040499,0.010908597035133472,-0.17498559157922955,-0.049752815654060534,0.0144274489881048,0.0101429947582842,0.0233963615985834,0.3725756570531633,0.09011264080100125,False,"Not flagged, but strongest feature signals were measured. Dominant features: volume_change (39%), input_peer_nvda_return (15%), input_market_return (14%), input_peer_msft_return (9%), moving_average_gap_10d (7%).",0.0383636767412806,0.036265962986555315,0.016934520879779435,0.005246150583720259,0.007902362400099052,0.07034401293156503,0.0005479488476368735,0.3871574652755589,0.05325415933110094,0.14000337170647875,0.09482591165204153,0.1491544566641833
2020-02-19,78.12300872802734,0.014483005688580963,0.014483005688580963,0.012546702929419729,0.024696208357271043,0.013225964506748542,0.016926939144259724,0.003174668300511607,0.022899092188546577,-0.030649862872578315,-0.07737557468687051,0.0236268843043103,0.0029989376463408,0.0611320651717639,0.3875254545711863,0.29161451814768463,False,"Not flagged, but strongest feature signals were measured. Dominant features: input_peer_nvda_return (64%), input_market_return (22%), volume_vs_20d_average (7%), rolling_10d_volatility (4%), volume_change (1%).",0.0005582406510302532,0.006805866777194186,0.00060650223327396,0.03509177206819462,0.003516495866423186,0.00010883612266063985,0.006553965470665947,0.013062860752176995,0.06956790968120602,0.22008155484609251,0.003145055871868148,0.6409009396592136
2020-02-20,77.32152557373047,-0.010259245865544053,0.010259245865544053,-0.02108834962568873,0.010576329487374192,0.013521796115475852,0.017041530535252137,-0.006997401319633889,0.009998221544326391,-0.057486977641847514,-0.1220894142750345,-0.0140751430142954,-0.0152711663963853,-0.0190656357321916,0.3719226416590196,0.08197747183979975,False,"Not flagged, but strongest feature signals were measured. Dominant features: volume_vs_20d_average (25%), input_peer_msft_return (21%), input_market_return (15%), input_peer_nvda_return (13%), rolling_5d_return (12%).",0.017207949831423475,0.11530351999639868,0.004277881787671614,0.043402768845568956,0.004048488629293582,0.03648370373440731,0.0008756150284502158,0.045617384639720274,0.24798644652728893,0.15084921795749354,0.20785921831798512,0.1260878047042984
2020-02-21,75.57136535644531,-0.022634838155337178,0.022634838155337178,-0.0363837421051203,-0.0170318923869488,0.014531569670362874,0.01744524367834051,-0.026034615692721697,-0.013959240607786416,0.2601877300913056,0.10053060880926679,-0.0351795973216265,-0.0316126188252341,-0.0473923498090835,0.43342498499940074,0.7171464330413017,False,"Not flagged, but strongest feature signals were measured. Dominant features: input_peer_msft_return (22%), input_market_return (22%), input_peer_nvda_return (17%), volume_change (12%), rolling_5d_return (8%).",0.029296913229600104,0.07531567335064406,0.016335455865117074,0.006092099061063224,0.00036385971389742036,0.07149544133692518,0.018166731208771235,0.12472193916782853,0.043133630801931076,0.21970190277060744,0.22130038173389432,0.17407597175972028
2020-02-24,71.9817123413086,-0.04750017414936869,0.04750017414936869,-0.082381799646016,-0.06101705643549249,0.020059749106515264,0.01916467648146767,-0.06594847653499714,-0.059738376935466575,0.1754107794912867,0.26473876004779795,-0.0517228082237627,-0.0431154517737871,-0.0706974226628609,0.550753087503927,0.9612015018773467,False,"Not flagged, but strongest feature signals were measured. Dominant features: input_market_return (16%), absolute_return (14%), input_peer_msft_return (14%), moving_average_gap_10d (13%), input_peer_nvda_return (13%).",0.14231137009327421,0.11346146178310176,0.0261592330480517,0.001921147821356157,0.0004792733384143403,0.13147103628731174,0.044614983016469295,0.01784035386233119,0.10134817261731163,0.156604333075686,0.13746789849225935,0.12632073656443274
2020-02-25,69.54354095458984,-0.03387209483372544,0.03387209483372544,-0.09692750442510145,-0.06533826435026313,0.02125768525589675,0.02006702717878528,-0.08802519253328533,-0.08952799743476914,-0.17918497589771998,0.04019561893233092,-0.0252618367985772,-0.0165016287129771,-0.0410933827316164,0.4877770247646343,0.8942428035043805,False,"Not flagged, but strongest feature signals were measured. Dominant features: moving_average_gap_10d (33%), rolling_5d_return (22%), moving_average_gap_30d (13%), absolute_return (7%), input_peer_nvda_return (6%).",0.07324240610496077,0.22339777044131606,0.0419788886450748,0.005771176492767503,0.002223076677824994,0.32950425953851237,0.12824128565542775,0.039873470059941976,0.0033382524741519854,0.05692798967933669,0.0305525635773148,0.06494886065337035
2020-02-26,70.64671325683594,0.01586304475014355,0.01586304475014355,-0.09569902123481855,-0.07663308239696709,0.0228618738108348,0.019868392868108178,-0.06558348772720113,-0.07278379477563868,-0.1585535038884568,-0.12316507336357008,0.0124456487506241,0.0124947020022958,0.0213699288335158,0.4614581482066318,0.8222778473091364,False,"Not flagged, but strongest feature signals were measured. Dominant features: rolling_5d_return (33%), moving_average_gap_10d (28%), moving_average_gap_30d (14%), rolling_20d_return (8%), volume_vs_20d_average (5%).",0.0012330379516819778,0.3282089184545162,0.08095422555878626,0.017264771633166885,0.002727470561745362,0.2833499760826232,0.1351399517389228,0.04807737268588257,0.048112907477686276,0.014971689546089831,0.021920228167959934,0.018039450140938416
2020-02-27,66.0286865234375,-0.06536789215670391,0.06536789215670391,-0.14605039109742612,-0.15468587313029025,0.02602877848753628,0.022895109079949034,-0.11143451949875671,-0.12986333157469687,0.23190620960887798,0.08142621446144815,-0.0580870255541617,-0.0704592963596684,-0.0556655148355442,0.6383413093546646,0.9874843554443054,True,"Flagged as a price-feature anomaly. Dominant features: input_peer_msft_return (18%), moving_average_gap_10d (18%), rolling_5d_return (17%), absolute_return (16%), input_market_return (10%).",0.16363811998219166,0.16678285926123607,0.05956309143776723,0.009655214810291917,0.0042929743306703745,0.1762966723037663,0.08461752780589174,0.016163163036126423,0.00469094368793382,0.09659481303204502,0.17845203569791865,0.03925258461416085
2020-02-28,65.99005126953125,-0.0005851283122606521,0.0005851283122606521,-0.12678498055079657,-0.15395450273608036,0.026396357999091468,0.022904118693692816,-0.09684125285990675,-0.12692442763013778,-0.09563660458343759,-0.025524123982937796,0.0310274077279531,0.0242133347879911,0.0691607351183583,0.5657370697695994,0.9699624530663329,False,"Not flagged, but strongest feature signals were measured. Dominant features: moving_average_gap_10d (26%), rolling_5d_return (24%), moving_average_gap_30d (15%), rolling_20d_return (11%), input_peer_nvda_return (10%).",0.020133989621881516,0.24088430696058302,0.11208296704111649,0.019905032277062997,0.008176421767680055,0.2552267710131448,0.1540308916793357,0.008496483787749337,0.0009016344749118801,0.045788368148301846,0.0371744339246808,0.0971986993035516
2020-03-02,72.13380432128906,0.09310120137146316,0.09310120137146316,0.002112925283845879,-0.03227951905487925,0.04371021300514595,0.02885812744919267,-0.004155558277224136,-0.044043883440539,0.47630229701518,0.4130467747843163,0.0424514141967642,0.0665389087609424,0.0235492195760735,0.6224464077850879,0.9856070087609512,True,"Flagged as a price-feature anomaly. Dominant features: absolute_return (42%), input_peer_msft_return (17%), volume_vs_20d_average (13%), rolling_10d_volatility (10%), volume_change (8%).",0.42184541046692414,6.481039420352361e-05,0.005868647940459542,0.0970766029467798,0.023166846453567487,0.0009355630476919158,0.014723906794317199,0.08067812724733546,0.13247539811874962,0.050479775135470965,0.16714887232790765,0.005536039126592721
